,count,hate_speech,offensive_language,neither,class,tweet,clean_tweets
108,3,0,3,0,offensive_language,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",what happen vixen ent bitch get ran throw side like foothill bitch
109,3,0,3,0,offensive_language,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#;&#;&#;"" wow",i be bitch okay nude pat wow
110,3,3,0,0,hate_speech,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",you be fuck gay blacklist hoe hold tehgodclan anyway
111,3,0,3,0,offensive_language,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",the fuck wrong bitch nobody know
112,3,0,3,0,offensive_language,"""@Dietrich: Yall shut up:p"" make me bitch",you all shut upp make bitch
113,3,1,2,0,offensive_language,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",hate i be pregnant type bitch
114,3,0,3,0,offensive_language,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top ",get bitch dm do not ever readem top
115,3,0,0,3,neither,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",baseball season win yankee this love start
116,3,0,3,0,offensive_language,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",little stupid bitch do not fuck yoooooouuuu
117,3,0,3,0,offensive_language,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",really ask dead as serious though could say bitch wheet lol
118,3,0,0,3,neither,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",i be early bird i be night owl i be wise worm
119,3,0,1,2,neither,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",overdose heavy drug do not sound bad tonight pussy shit every day
120,3,0,0,3,neither,"""@El_Grillo: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/QSmoOLh&#;

They *are* fairy tale creatures.",pit bull photograph a lovely fairy tale creature they fairy tale creature
121,3,0,3,0,offensive_language,"""@Ferocious_Ghost: @stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",aw fag do not tweet aw lol
122,3,0,0,3,neither,"""@FloKid: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",a long lakers trash could careless and that be real cc hahaha
123,3,0,3,0,offensive_language,"""@Frosstyy_: @hrheyd I didn't say anything tho"" kiss me then faggot",do not say anything though kiss faggot
124,3,0,0,3,neither,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUaiqWBIR"" &#; yup",play soccer cheat girl wear khaki colour cargo haircut yup
125,3,0,3,0,offensive_language,"""@GStatus: I could go for a fat ass bitch on my lap"" same",could go fat as bitch lap
126,3,0,3,0,offensive_language,"""@GEDMelle:  missed calls!!!! &#;&#;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",miss call das yo po bitch twitter fix to screamn freemoneymelle
127,6,0,6,0,offensive_language,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#;&#;&#;&#;",ya side bitch get to know rule shitanybody ask cousin jersey thinkin bout move lmmfao
128,3,0,3,0,offensive_language,"""@GagaTom: &#;@MaleFoot:  | Amo los pies http://t.co/QEhDkKi&#;"" fuck yeah",amo los pie fuck yeah
129,3,0,3,0,offensive_language,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#;&#;"" ainna bruh",these hoe think meat will not slap as ainna bruh
130,3,0,3,0,offensive_language,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#;&#;&#;""&#;&#;&#;",you all bitch wit edge talk
131,3,0,3,0,offensive_language,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",you all still go trick treat year nahhell yeah i be about to da sweet tooth bandit steal bitch bag shit
132,3,0,3,0,offensive_language,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",want to sex mom fuck right pussy come damn got hack like fuck
133,6,0,6,0,offensive_language,"""@Gizzy_Jones: If she kiss u with her eyes open watch that bitch!""lmfao",if kiss eye open watch bitchlmfao
134,3,0,3,0,offensive_language,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#;&#;""",you would have coulda shoulda as hoe
135,3,0,3,0,offensive_language,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",happy birthday bitch as nigga bitch roll
136,3,0,3,0,offensive_language,"""@HBMostDope: @Jayee @PipinHoes used to send that bitch up""",use send bitch
137,6,0,6,0,offensive_language,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#;&#;""",ugly bitch like i be wcw duh bitch be not nobody el
138,3,1,2,0,offensive_language,"""@HaloTGMG: @stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",nigga know hacky sack hoe nah throw look pass lmao
139,3,1,2,0,offensive_language,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",glad i be get outta atlanta nothing bunch nigga amp outta jail amp dumb bitch mad kid fuckin them
140,3,0,1,2,neither,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQJswf"" I'm doing this idc",this be not ghettoits smart i be idc
141,3,0,2,1,offensive_language,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",would wife hoe cuz would not care cheat force relationship first place
142,3,0,3,0,offensive_language,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",be single be not excuse hoe
143,3,1,2,0,offensive_language,"""@HoskinsTy: White boy power bitch"" black power bitch",white boy power bitch black power bitch
144,3,0,3,0,offensive_language,"""@Hudgens_: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",let u get drunk get blow spit shit spark blunts amp fuck hoe bro white dude chill
145,3,0,3,0,offensive_language,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",bitch around world back where
146,3,0,3,0,offensive_language,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#;&#;&#;&#;"" *by @anelylove *",do not get dick suck yo party bad bitch i be fr go set
147,3,0,2,1,offensive_language,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",oomf soooo cute but probably hoe lot
148,3,0,3,0,offensive_language,"""@JAYten: In every cartoon theirs alway a @_nuffsaid saving these hoes lmao. http://t.co/uKDwtZx"" lmao damn captain SaveAHoe",in every cartoon alway save hoe lmao lmao damn captain saveahoe
149,3,0,1,2,neither,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgNWI"" hot sox and legs",who want get nose bad bois scally chav sockfetish stink hot sox leg
150,3,0,3,0,offensive_language,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#;"" ooooow I bet you do",wish bitch like brother keezy ooooow bet
151,6,0,6,0,offensive_language,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",if dress cat halloween basic pussy
152,4,0,4,0,offensive_language,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;",can pornhub get gaming stream feature dumb bitch gtfo get katielt
153,3,0,3,0,offensive_language,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#;ll like it."". Says the guy who hits women out of bed. FOH",stop scar choke sex bitch as nigga she will like say guy hit woman bed foh
154,3,0,3,0,offensive_language,"""@JohnnyPerez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",ha well iguess make hoe loyal bro they will never loyal hoe nig
155,6,0,6,0,offensive_language,"""@KazAtta: @TAKEHOV Oh man.. ""its  am, you off a molly, ho where the fuck ya seed at??"""" #fixed",oh man molly ho fuck ya seed fix
156,3,0,3,0,offensive_language,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",you be man refer every girl bitch
157,3,0,3,0,offensive_language,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",lmfao cat start beat shit nigga finally get pussy my nigga
158,3,0,1,2,neither,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",peel peel bring back rewind back i be move shaq line ooooow tf say trash
159,3,0,2,1,offensive_language,"""@KingCuh: @stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
160,3,0,3,0,offensive_language,"""@KingHendo: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",naw old tape new cover upcoming mixtape kingofthehill yeah i be wait hoe mayne
161,3,0,3,0,offensive_language,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",old dirty foot as bitch funny
162,3,0,3,0,offensive_language,"""@King_Shawn_: @white_thunduh that's where I get my yellow flags for being amazing &#;&#;"" HELL YEAH NIGGY",that be get yellow flag amaze hell yeah niggy
163,3,0,3,0,offensive_language,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",do not get time bitch actin iffy
164,3,0,0,3,neither,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",ucfpinkparty come stay alive knight nation this still early bird special comeatmeut
165,3,0,2,1,offensive_language,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/hUBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",these hoe be not loyal be not smfh amp wonder nobody decent want
166,3,0,3,0,offensive_language,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",bruh stud keep think i be soft hell ask ya girl many time scream bitch oh okay stfu bye hoe
167,3,0,3,0,offensive_language,"""@LODYCASH: dry pussy bitches always blame it on the condom&#;""&#;&#;&#;&#;",dry pussy bitch always blame condom
168,3,0,3,0,offensive_language,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemNugm"" &#;&#;",shut yo bitch as
169,3,0,3,0,offensive_language,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",gucci mane jail drop mixtapes every month hoe can not even text back
170,3,0,3,0,offensive_language,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",you love hoe money wats wrong niggas
171,6,0,6,0,offensive_language,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",loyal bitch burbs without daddy issue like find holographic mewtwo sound like lol
172,3,0,3,0,offensive_language,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",easy cum easy hoe that be fact
173,3,0,3,0,offensive_language,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdKkOV"" major fucking respect for Charlie Sheen.",charlie sheen real major fuck respect charlie sheen
174,3,0,3,0,offensive_language,"""@Lightskingawdd: Wish I had a bae &#;""

You got all the hoes tho",wish bae you get hoe though
175,3,0,3,0,offensive_language,"""@Lil_Mike_: Fuck twerking bitch can you cook ?""",fuck twerking bitch cook
176,3,0,3,0,offensive_language,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",bitch wtf
177,3,1,2,0,offensive_language,"""@Lipe_the_Great: &#;@hrheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#; for zoe? I'm good, man."" You are good ma'am. Move along now",shut zoe fight pussy zoe i be good man you good madam move along
178,3,0,3,0,offensive_language,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",lmao fuck snake bitch them
179,3,0,3,0,offensive_language,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#;"" damn &#;&#;&#;",big booty hoe everywhere sheesh damn
180,3,0,0,3,neither,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees B @teixeiramark will be out - weeks"" @dliming #bum",stay tune update report week bum
